Ethinicity,Region,Sex
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Black,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Asian,North,Male
Indian,North,Male
Indian,North,Male
Indian,North,Male
Indian,North,Male
Indian,North,Male
Indian,North,Male
Indian,North,Male
Indian,North,Male
Indian,North,Male
Indian,North,Male
White,North,Male
White,North,Male
White,North,Male
Black,West,Male
Black,West,Male
Black,West,Male
Black,West,Male
Black,West,Male
Black,West,Male
Black,West,Male
Black,West,Male
Black,West,Male
Black,West,Male
Black,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Asian,West,Male
Indian,West,Male
Indian,West,Male
Indian,West,Male
Indian,West,Male
Indian,West,Male
Indian,West,Male
Indian,West,Male
Indian,West,Male
Indian,West,Male
Indian,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
White,West,Male
Black,South,Male
Black,South,Male
Black,South,Male
Black,South,Male
Black,South,Male
Black,South,Male
Black,South,Male
Black,South,Male
Black,South,Male
Black,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Asian,South,Male
Indian,South,Male
Indian,South,Male
Indian,South,Male
Indian,South,Male
Indian,South,Male
Indian,South,Male
Indian,South,Male
White,South,Male
White,South,Male
White,South,Male
White,South,Male
White,South,Male
Black,East,Male
Black,East,Male
Black,East,Male
Asian,East,Male
Asian,East,Male
Asian,East,Male
Asian,East,Male
Asian,East,Male
Asian,East,Male
Asian,East,Male
Asian,East,Male
Asian,East,Male
Asian,East,Male
Asian,East,Male
Asian,East,Male
Asian,East,Male
Asian,East,Male
Asian,East,Male
Indian,East,Male
Indian,East,Male
Indian,East,Male
Indian,East,Male
Indian,East,Male
Indian,East,Male
Indian,East,Male
White,East,Male
White,East,Male
White,East,Male
White,East,Male
White,East,Male
White,East,Male
White,East,Male
White,East,Male
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Black,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Asian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
Indian,North,Female
White,North,Female
White,North,Female
White,North,Female
White,North,Female
Black,West,Female
Black,West,Female
Black,West,Female
Black,West,Female
Black,West,Female
Black,West,Female
Black,West,Female
Black,West,Female
Black,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Indian,West,Female
Indian,West,Female
Indian,West,Female
Indian,West,Female
Indian,West,Female
Indian,West,Female
Indian,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
Black,South,Female
Black,South,Female
Black,South,Female
Black,South,Female
Black,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Indian,South,Female
Indian,South,Female
Indian,South,Female
Indian,South,Female
Indian,South,Female
Indian,South,Female
Indian,South,Female
White,South,Female
White,South,Female
White,South,Female
White,South,Female
White,South,Female
Black,East,Female
Black,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Indian,East,Female
Indian,East,Female
Indian,East,Female
Indian,East,Female
Indian,East,Female
Indian,East,Female
Indian,East,Female
White,East,Female
White,East,Female
White,East,Female
White,East,Female
White,East,Female
White,East,Female
White,East,Female
White,East,Female